Country,Level 1 Government,Level 2 Government
Rwanda,Kigali City,Nyarugenge
Rwanda,Kigali City,Gasabo
Rwanda,Kigali City,Kicukiro
Rwanda,Southern Province,Nyanza
Rwanda,Southern Province,Gisagara
Rwanda,Southern Province,Nyaruguru
Rwanda,Southern Province,Huye
Rwanda,Southern Province,Nyamagabe
Rwanda,Southern Province,Ruhango
Rwanda,Southern Province,Muhanga
Rwanda,Southern Province,Kamonyi
Rwanda,Western Province,Karongi
Rwanda,Western Province,Rutsiro
Rwanda,Western Province,Rubavu
Rwanda,Western Province,Nyabihu
Rwanda,Western Province,Ngororero
Rwanda,Western Province,Rusizi
Rwanda,Western Province,Nyamasheke
Rwanda,Northern Province,Rulindo
Rwanda,Northern Province,Gakenke
Rwanda,Northern Province,Musanze
Rwanda,Northern Province,Burera
Rwanda,Northern Province,Gicumbi
Rwanda,Eastern Province,Rwamagana
Rwanda,Eastern Province,Nyagatare
Rwanda,Eastern Province,Gatsibo
Rwanda,Eastern Province,Kayonza
Rwanda,Eastern Province,Kirehe
Rwanda,Eastern Province,Ngoma
Rwanda,Eastern Province,Bugesera
Uganda,Northern,Abim
Uganda,Northern,Adjumani
Uganda,Northern,Agago
Uganda,Northern,Alebtong
Uganda,Northern,Amolatar
Uganda,Northern,Amudat
Uganda,Eastern,Amuria
Uganda,Northern,Amuru
Uganda,Northern,Apac
Uganda,Northern,Arua
Uganda,Eastern,Budaka
Uganda,Eastern,Bududa
Uganda,Eastern,Bugiri
Uganda,Eastern,Bugweri
Uganda,Western,Buhweju
Uganda,Central,Buikwe
Uganda,Eastern,Bukedea
Uganda,Central,Bukomansimbi
Uganda,Eastern,Bukwo
Uganda,Eastern,Bulambuli
Uganda,Western,Buliisa
Uganda,Western,Bundibugyo
Uganda,Western,Bunyangabu
Uganda,Western,Bushenyi
Uganda,Eastern,Busia
Uganda,Eastern,Butaleja
Uganda,Central,Butambala
Uganda,Eastern,Butebo
Uganda,Central,Buvuma
Uganda,Eastern,Buyende
Uganda,Northern,Dokolo
Uganda,Central,Gomba
Uganda,Northern,Gulu
Uganda,Western,Hoima
Uganda,Western,Ibanda
Uganda,Eastern,Iganga
Uganda,Western,Isingiro
Uganda,Eastern,Jinja
Uganda,Northern,Kaabong
Uganda,Western,Kabale
Uganda,Western,Kabarole
Uganda,Eastern,Kaberamaido
Uganda,Western,Kagadi
Uganda,Western,Kakumiro
Uganda,Eastern,Kalaki
Uganda,Central,Kalangala
Uganda,Eastern,Kaliro
Uganda,Central,Kalungu
Uganda,Central,Kampala
Uganda,Eastern,Kamuli
Uganda,Western,Kamwenge
Uganda,Western,Kanungu
Uganda,Eastern,Kapchorwa
Uganda,Eastern,Kapelebyong
Uganda,Northern,Karenga
Uganda,Western,Kasese
Uganda,Central,Kassanda
Uganda,Eastern,Katakwi
Uganda,Central,Kayunga
Uganda,Western,Kazo
Uganda,Western,Kibaale
Uganda,Central,Kiboga
Uganda,Eastern,Kibuku
Uganda,Western,Kikuube
Uganda,Western,Kiruhura
Uganda,Western,Kiryandongo
Uganda,Western,Kisoro
Uganda,Western,Kitagwenda
Uganda,Northern,Kitgum
Uganda,Northern,Koboko
Uganda,Northern,Kole
Uganda,Northern,Kotido
Uganda,Eastern,Kumi
Uganda,Northern,Kwania
Uganda,Eastern,Kween
Uganda,Central,Kyankwanzi
Uganda,Western,Kyegegwa
Uganda,Western,Kyenjojo
Uganda,Central,Kyotera
Uganda,Northern,Lamwo
Uganda,Northern,Lira
Uganda,Eastern,Luuka
Uganda,Central,Luwero
Uganda,Central,Lwengo
Uganda,Central,Lyantonde
Uganda,Northern,Madi Okollo
Uganda,Eastern,Manafwa
Uganda,Northern,Maracha
Uganda,Central,Masaka
Uganda,Western,Masindi
Uganda,Eastern,Mayuge
Uganda,Eastern,Mbale
Uganda,Western,Mbarara
Uganda,Western,Mitooma
Uganda,Central,Mityana
Uganda,Northern,Moroto
Uganda,Northern,Moyo
Uganda,Central,Mpigi
Uganda,Central,Mubende
Uganda,Central,Mukono
Uganda,Northern,Nabilatuk
Uganda,Northern,Nakapiripirit
Uganda,Central,Nakaseke
Uganda,Central,Nakasongola
Uganda,Eastern,Namayingo
Uganda,Eastern,Namisindwa
Uganda,Eastern,Namutumba
Uganda,Northern,Napak
Uganda,Northern,Nebbi
Uganda,Eastern,Ngora
Uganda,Western,Ntoroko
Uganda,Western,Ntungamo
Uganda,Northern,Nwoya
Uganda,Northern,Obongi
Uganda,Northern,Omoro
Uganda,Northern,Otuke
Uganda,Northern,Oyam
Uganda,Northern,Pader
Uganda,Northern,Pakwach
Uganda,Eastern,Pallisa
Uganda,Central,Rakai
Uganda,Western,Rubanda
Uganda,Western,Rubirizi
Uganda,Western,Rukiga
Uganda,Western,Rukungiri
Uganda,Western,Rwampara
Uganda,Eastern,Serere
Uganda,Western,Sheema
Uganda,Eastern,Sironko
Uganda,Eastern,Soroti
Uganda,Central,Ssembabule
Uganda,Eastern,Tororo
Uganda,Central,Wakiso
Uganda,Northern,Yumbe
Uganda,Northern,Zombo
Ethiopia,Tigray,North Western
Ethiopia,Tigray,Central
Ethiopia,Tigray,Eastern
Ethiopia,Tigray,Southern
Ethiopia,Tigray,South Eastern
Ethiopia,Tigray,Mekelle
Ethiopia,Afar,Awsi/Zone 1
Ethiopia,Afar,Kilbati/Zone 2
Ethiopia,Afar,Gabi/Zone 3
Ethiopia,Afar,Fanti/Zone 4
Ethiopia,Afar,Hari/Zone 5
Ethiopia,Afar,Mahi/Zone 6
Ethiopia,Amhara,North Gondar
Ethiopia,Amhara,South Gondar
Ethiopia,Amhara,North Wello
Ethiopia,Amhara,South Wello
Ethiopia,Amhara,North Shewa (AM)
Ethiopia,Amhara,East Gojam
Ethiopia,Amhara,West Gojam
Ethiopia,Amhara,Wag Hamra
Ethiopia,Amhara,Awi
Ethiopia,Amhara,Oromo Nationality Administration
Ethiopia,Amhara,Central Gondar
Ethiopia,Amhara,West Gondar
Ethiopia,Amhara,North Gojam
Ethiopia,Amhara,Bahir Dar town Admin
Ethiopia,Oromia,West Wellega
Ethiopia,Oromia,East Wellega
Ethiopia,Oromia,Ilu Aba Bora
Ethiopia,Oromia,Jimma
Ethiopia,Oromia,West Shewa
Ethiopia,Oromia,North Shewa (OR)
Ethiopia,Oromia,East Shewa
Ethiopia,Oromia,Arsi
Ethiopia,Oromia,West Hararge
Ethiopia,Oromia,East Hararge
Ethiopia,Oromia,Bale
Ethiopia,Oromia,Borena
Ethiopia,Oromia,South West Shewa
Ethiopia,Oromia,Guji
Ethiopia,Oromia,West Guji
Ethiopia,Oromia,Buno Bedele
Ethiopia,Oromia,West Arsi
Ethiopia,Oromia,Kelem Wellega
Ethiopia,Oromia,Horo Gudru Wellega
